Opponent Decklist,Result
Ali from Cairo | Dwarven Hold | Red Sun's Zenith,-1.0
Ancient Den | Dusk Rose Reliquary | Glint Hawk,1.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,-1.0
Ancient Tomb | Porcelain Legionnaire | Ratchet Bomb,-1.0
Azure Beastbinder | Cyclonic Rift | Saprazzan Skerry,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Brain Maggot | Mox Jet | Rishadan Port,-0.5
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
Chancellor of the Forge | Vexing Bauble | Wasteland,1.0
Daze | Island | Sleep-Cursed Faerie,0.5
Dryad Arbor | Force of Despair | Grief,-1.0
Dryad Arbor | Hollow Trees | Nullhide Ferox,-1.0
Etched Slith | Mishra's Factory | Mox Jet,-1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Gideon of the Trials | Jace Reawakened | Saprazzan Skerry,1.0
Gleeful Demolition | Memnite | Mountain,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mishra's Factory | Sol Ring | Sphere of Resistance,1.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,1.0
"Ajani, Nacatl Pariah | Get Lost | Remote Farm",-1.0
Alpine Moon | Inkmoth Nexus | Mountain,1.0
Alpine Moon | Scythe Tiger | Taiga,1.0
Ancient Spring | Sleep-Cursed Faerie | Vanishing Verse,0.0
Ancient Tomb | Cryptic Trilobite | Cryptic Trilobite,-1.0
Ancient Tomb | Field of Ruin | Steel Overseer,-0.5
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Angel of Sanctions | Icatian Store | Solitude,-0.5
Black Market Connections | Dark Ritual | Hive of the Eye Tyrant,1.0
"Boseiju, Who Endures | Forest | Grist, Voracious Larva",1.0
Cavern of Souls | Ocelot Pride | Scythe Tiger,0.0
Cenn's Tactician | Path to Exile | Plains,0.0
Cenn's Tactician | Scrubland | Thoughtseize,0.5
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fury | Mental Misstep,-1.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
Daze | Icehide Golem | Snow-Covered Island,0.5
Daze | Sleep-Cursed Faerie | Snow-Covered Island,0.5
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,-1.0
Ezio Auditore da Firenze | Peat Bog | Thraximundar,-1.0
Flash | Gruff Triplets | Saprazzan Skerry,-1.0
Forest | Llanowar Mentor | Vigor,1.0
Gleeful Demolition | Mountain | Voldaren Epicure,1.0
Inkmoth Nexus | Mox Pearl | Prairie Dog,-1.0
Inkmoth Nexus | Ruins of Oran-Rief | The Filigree Sylex,-1.0
