Opponent Decklist,Result
Aether Vial | Chancellor of the Tangle | Weathered Sentinels,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,1.0
Bayou | Encroach | Hexdrinker,0.0
Bitterblossom | Peat Bog | Smallpox,-0.5
Chronomaton | Forest | Pick Your Poison,-1.0
Crashing Footfalls | Evil Presence | Undiscovered Paradise,-1.0
Crashing Footfalls | Force Spike | Tropical Island,0.0
Crashing Footfalls | Forest | Pick Your Poison,0.0
"Crashing Footfalls | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",0.0
Crystal Vein | Leyline of the Guildpact | Scion of Draco,1.0
Crystal Vein | Magus of the Moon | Mox Ruby,-1.0
Dreadhorde Invasion | Mox Jet | Mutavault,1.0
Dryad Arbor | Leyline Binding | Leyline of the Guildpact,-1.0
Energy Field | Sand Silos | The Millennium Calendar,0.0
Force of Despair | Memnite | Unmask,-1.0
Force of Negation | Lotus Bloom | Skystrike Officer,0.0
Grove of the Burnwillows | Kavu Predator | Mox Emerald,1.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,1.0
Pyroblast | Serene Remembrance | Taiga,0.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Blazing Rootwalla | Foil | Volcanic Island,0.0
Cauldron Familiar | Cavern of Souls | Witch's Oven,1.0
Crack the Earth | Memnite | Mountain,-1.0
Field of Ruin | Idol of False Gods | Sol Ring,0.0
Forest | Old-Growth Dryads | Pick Your Poison,-1.0
Fountain of Cho | Phyrexian Triniform | Subterranean Hangar,1.0
Gut Shot | Memnite | Mental Misstep,-1.0
Hickory Woodlot | Liquimetal Coating | Outland Liberator,-1.0
Kitesail Freebooter | Mox Jet | Rishadan Port,-1.0
Mental Misstep | Sunken Citadel | Treetop Village,-1.0
"Mother of Runes | Plains | Skrelv, Defector Mite",1.0
Mox Jet | Mox Jet | Refurbished Familiar,-1.0
Mox Sapphire | Mutavault | Tide Shaper,-1.0
