Opponent Decklist,Result
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",0.0
Ancient Tomb | Jinxed Idol | Myr Sire,0.0
Azure Beastbinder | Mox Sapphire | Wasteland,-1.0
Banefire | Mental Misstep | Mercadian Bazaar,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,0.0
Crystal Vein | Memnite | Sphere of Resistance,0.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Dryad Arbor | Dryad Arbor | Dryad Arbor,-1.0
Fiend Hunter | Karoo | Plains,0.0
Lightning Bolt | Reinforced Ronin | Snow-Covered Mountain,0.0
Mesmeric Fiend | Mishra's Factory | Mox Jet,-1.0
"Mountain | Mox Ruby | Yidaro, Wandering Monster",-1.0
Reluctant Role Model | Remote Farm | Unwanted Remake,0.0
