Opponent Decklist,Result
Black Lotus | Darksteel Citadel | Phylactery Lich,-1.0
"Black Lotus | Oko, Thief of Crowns | Sand Silos",-1.0
Chancellor of the Annex | Strip Mine | The Rack,1.0
