Opponent Decklist,Result
Black Lotus | Darksteel Citadel | Phylactery Lich,-1.0
"Black Lotus | Oko, Thief of Crowns | Sand Silos",0.0
Cavern of Souls | Chancellor of the Annex | Reckless Waif,-1.0
