Opponent Decklist,Result
Ancient Tomb | Isochron Scepter | Warping Wail,-1.0
Bilious Skulldweller | Elixir of Immortality | Geothermal Crevice,0.0
Bitterblossom | Peat Bog | Thoughtseize,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-0.5
Chancellor of the Annex | Field of Ruin | Icatian Store,-1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Chancellor of the Annex | Saprazzan Skerry | Tide Shaper,0.0
Dryad Arbor | Inkmoth Nexus | Pick Your Poison,0.0
Duskwielder | Paralyze | Swamp,-1.0
Energy Field | Irrigation Ditch | Soltari Foot Soldier,0.0
Field of Ruin | Keldon Megaliths | Sunken Citadel,-1.0
"Great Furnace | Krenko, Baron of Tin Street | Mana Crypt",-1.0
Inkmoth Nexus | Mox Jet | Nezumi Shortfang,-1.0
Inkmoth Nexus | Sol Ring | Steel Overseer,-1.0
Karakas | Righteousness | Speaker of the Heavens,0.0
Luminarch Aspirant | Ornithopter | Remote Farm,-1.0
Nether Spirit | Peat Bog | Smallpox,-1.0
Sunken Citadel | Sunken Citadel | Tomb of Urami,-1.0
