Opponent Decklist,Result
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Scythe Tiger | Thoughtseize,-0.5
Blast Zone | Keldon Megaliths | Sunken Citadel,0.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Foil | Island,1.0
City of Traitors | Damping Sphere | Steel Overseer,1.0
City of Traitors | Hangarback Walker | Hangarback Walker,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
Daze | Island | Sleep-Cursed Faerie,-0.5
Greater Gargadon | Restore Balance | Undiscovered Paradise,1.0
Hickory Woodlot | Maze of Ith | Outland Liberator,-0.5
Hickory Woodlot | Packsong Pup | Packsong Pup,0.0
Inkmoth Nexus | Plains | Portable Hole,0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mishra's Factory | Rishadan Port | Sunken Citadel,0.5
Mox Pearl | Mutavault | War Priest of Thune,1.0
Mox Pearl | Portable Hole | Warden of the Inner Sky,0.0
Mox Pearl | Skrelv's Hive | The Seedcore,-1.0
Path to Exile | Prairie Dog | Remote Farm,0.0
Prairie Dog | Remote Farm | Soul Partition,-0.5
