Opponent Decklist,Result
Agent of Treachery | Flash | Saprazzan Skerry,0.0
Inkmoth Nexus | Interplanar Beacon | Wrenn and Six,1.0
Inkmoth Nexus | Mox Jet | Traumatic Revelation,1.0
Knight of the Holy Nimbus | Remote Farm | Soul Partition,-0.5
Memnite | Mental Misstep | Subtlety,1.0
Mishra's Factory | Mox Pearl | Swords to Plowshares,1.0
Mox Pearl | Prairie Dog | Rishadan Port,1.0
Nested Shambler | Tendrils of Despair | Urborg,1.0
Okiba Reckoner Raid | Swamp | Thoughtseize,0.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Reconnaissance | Restless Anchorage | Wind Zendikon,1.0
Saprazzan Skerry | Tide Shaper | Tide Shaper,-1.0
