Opponent Decklist,Result
Abrade | Mogg War Marshal | Sandstone Needle,0.0
Akroan Horse | Lotus Petal | Mishra's Workshop,-0.5
Anvil of Bogardan | Blazing Rootwalla | City of Traitors,-1.0
Basking Rootwalla | Bazaar of Baghdad | Bridge from Below,-1.0
Bayou | Cabal Therapy | Scythe Tiger,-0.5
Bayou | Hexdrinker | Shrieking Affliction,-0.5
Cavern of Souls | Hexdrinker | The Tabernacle at Pendrell Vale,0.0
Chancellor of the Forge | Chronomaton | Quicksand,0.0
Chancellor of the Forge | Force of Negation | Snapback,-1.0
Chancellor of the Forge | Fury | Sandstone Needle,0.0
City of Traitors | Isochron Scepter | Verdant Command,-0.5
City of Traitors | Isochron Scepter | Witherbloom Command,0.0
City of Traitors | Maze of Ith | Retrofitter Foundry,-0.5
City of Traitors | Thespian's Stage | Urza's Saga,0.0
Conjurer's Bauble | Lupine Prototype | Mishra's Workshop,-0.5
Crystalline Giant | Mishra's Workshop | Trinisphere,-0.5
Dark Depths | Ebon Stronghold | Vampire Hexmage,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Daze | Island | Sleep-Cursed Faerie,-0.5
Hickory Woodlot | Mayor of Avabruck | Outland Liberator,0.0
Mana Crypt | Scroll of Griselbrand | Urza's Saga,-0.5
Memnite | Memnite | Memnite,0.0
Obstinate Baloth | Obstinate Baloth | Obstinate Baloth,0.0
Sandstone Needle | Shattering Spree | Vexing Shusher,0.0
