Opponent Decklist,Result
Black Lotus | Darksteel Citadel | Phylactery Lich,1.0
Cavern of Souls | Chancellor of the Annex | Reckless Waif,1.0
Chancellor of the Annex | Strip Mine | The Rack,0.0
