Opponent Decklist,Result
Alpine Moon | Gleeful Demolition | Great Furnace,-1.0
Badlands | Crack the Earth | Spiteful Hexmage,-1.0
Bayou | Funeral Charm | Hexdrinker,-0.5
Blazing Rootwalla | Burning Inquiry | Mountain,-1.0
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",-0.5
Bottomless Vault | Nether Spirit | Smallpox,0.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Chronomaton | Karakas | Path to Exile,0.0
City of Traitors | Isochron Scepter | Lightning Helix,0.0
City of Traitors | Phyrexian Revoker | The Filigree Sylex,-0.5
Dwarven Hold | Pithing Needle | Red Sun's Zenith,0.0
Eater of Days | Karakas | Mishra's Workshop,-0.5
Elvish Spirit Guide | Karakas | Mayor of Avabruck,-0.5
Encroach | Hexdrinker | Undiscovered Paradise,-0.5
Hickory Woodlot | Mayor of Avabruck | Mayor of Avabruck,0.0
Karakas | Mana Tithe | Student of Warfare,-0.5
"Karakas | Simian Spirit Guide | Thalia, Guardian of Thraben",-1.0
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Lupine Prototype | Mishra's Workshop | Trinisphere,-1.0
Secluded Courtyard | Sleep-Cursed Faerie | Stormscape Apprentice,-0.5
