Opponent Decklist,Result
"Boseiju, Who Endures | Hickory Woodlot | Mayor of Avabruck",-1.0
Cabal Therapy | Inkmoth Nexus | Urborg,0.5
Cathedral of War | Inkmoth Nexus | Maze of Ith,1.0
Cenn's Tactician | Curse of Silence | Plains,0.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
Chaplain of Alms | Karakas | Leyline of Singularity,1.0
Chronomaton | Icatian Javelineers | Karakas,1.0
City of Traitors | Geth's Verdict | Isochron Scepter,1.0
City of Traitors | Maze of Ith | Retrofitter Foundry,0.0
City of Traitors | Mishra's Workshop | Stuffy Doll,1.0
Commandeer | Mental Misstep | Snapback,0.0
Doomed Traveler | Karakas | Leyline of Singularity,1.0
Eternal Scourge | Fountain of Cho | Path to Exile,1.0
Forest | Mind Swords | Young Wolf,1.0
Grafdigger's Cage | Mana Clash | Snow-Covered Mountain,1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,-1.0
Karakas | Mana Tithe | Memnite,1.0
Karakas | Mox Pearl | Skrelv's Hive,1.0
Karakas | Rishadan Port | Swooping Lookout,1.0
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,1.0
Lupine Prototype | Lupine Prototype | Mishra's Workshop,-1.0
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Burning Inquiry | Mountain | Nether Spirit,0.0
Cabal Therapy | Snow-Covered Swamp | The Rack,-1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Pithing Needle | Plains,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Tangle | Mayor of Avabruck | Wasteland,-1.0
Chronomaton | Pithing Needle | Wasteland,-1.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,1.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,-1.0
City of Traitors | Retrofitter Foundry | Sol Ring,0.0
Ensnaring Bridge | Mishra's Workshop | Walking Bulwark,0.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",1.0
Karakas | Leyline of Singularity | Tethered Griffin,1.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,-1.0
Lupine Prototype | Mishra's Workshop | The Rack,-1.0
Mishra's Workshop | Phyrexian Revoker | The Rack,-1.0
"Oboro, Palace in the Clouds | Piracy Charm | The Rack",-1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
