Opponent Decklist,Result
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Scythe Tiger | Thoughtseize,0.0
Bitterblossom | Sheoldred's Edict | Subterranean Hangar,-1.0
Blighted Agent | Energy Field | Saprazzan Skerry,-1.0
Blighted Agent | Inkmoth Nexus | Mox Sapphire,1.0
Bloodhall Ooze | Slitherhead | Undiscovered Paradise,1.0
Boros Garrison | Cathar Commando | Hellion Crucible,1.0
"Bottomless Vault | Ghalta and Mavren | Sorin, Imperious Bloodlord",1.0
Brute Force | Goblin Guide | Mountain,1.0
Cathedral of War | Inkmoth Nexus | Inkmoth Nexus,1.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,0.0
Cenn's Tactician | Encroach | Scrubland,0.0
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Pick Your Poison | Savannah,-1.0
Cenn's Tactician | Scrubland | Thoughtseize,0.0
Cenn's Tactician | Seachrome Coast | Void Snare,0.0
Court of Ardenvale | Icatian Store | White Plume Adventurer,1.0
Crawling Chorus | Scrubland | Thoughtseize,0.0
Cruel Sadist | Encroach | Snow-Covered Swamp,0.0
Dark Depths | Peat Bog | Vampire Hexmage,-1.0
Dark Ritual | Ebon Stronghold | Phyrexian Obliterator,1.0
Demolition Field | Sol Ring | Steel Overseer,1.0
Diregraf Ghoul | Ebon Stronghold | Gifted Aetherborn,1.0
Doorkeeper Thrull | Phyrexian Dreadnought | Remote Farm,0.0
Drop of Honey | Rushwood Grove | Timeless Witness,-1.0
Dryad Arbor | Force of Despair | Grief,-1.0
Dryad Arbor | Force of Despair | Unmask,-1.0
Dwarven Hold | Form of the Dragon | Maze of Ith,1.0
Encroach | Fourth Bridge Prowler | Snow-Covered Swamp,0.0
Encroach | Soldevi Sentry | Swamp,0.0
Field of Ruin | Hickory Woodlot | Outland Liberator,0.0
Flash | Saprazzan Skerry | Woodfall Primus,0.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,1.0
Greater Gargadon | Path to Exile | Plateau,1.0
Greenbelt Rampager | Hickory Woodlot | Tail Swipe,1.0
Grove of the Burnwillows | Grove of the Burnwillows | Kavu Predator,-1.0
Gruul Turf | Keldon Megaliths | Maze of Ith,1.0
