Opponent Decklist,Result
Aether Vial | Chancellor of the Annex | Mutavault,-1.0
Angel of Sanctions | Chancellor of the Annex | Icatian Store,0.0
"Atraxa, Grand Unifier | Saprazzan Cove | Volrath's Shapeshifter",1.0
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
Bitterblossom | Peat Bog | Thoughtseize,0.5
Blinkmoth Nexus | Imaginary Pet | Mox Sapphire,-1.0
Cavern of Souls | Inkmoth Nexus | Tidal Warrior,1.0
Chancellor of the Annex | Chancellor of the Forge | Solitude,-1.0
Chancellor of the Annex | Fountain of Cho | Mental Misstep,-1.0
Chancellor of the Annex | Icatian Store | Solitude,0.0
"Crystal Vein | Jace, Wielder of Mysteries | Lotus Bloom",-1.0
"Dwarven Hold | Fury | Squee, the Immortal",0.0
"Energy Field | Jace, Wielder of Mysteries | Sand Silos",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Fountain of Cho | Get Lost | Increasing Devotion,1.0
Hollow Trees | Pick Your Poison | Primordial Hydra,1.0
Nether Spirit | Peat Bog | Smallpox,0.5
Remote Farm | Skrelv's Hive | Soul Partition,0.5
