Opponent Decklist,Result
Bayou | Blackmail | Hexdrinker,-1.0
Black Lotus | Black Lotus | Frost Titan,-1.0
"Black Lotus | Channel | Emrakul, the Promised End",-1.0
Black Lotus | Dark Depths | Vampire Hexmage,-1.0
Black Lotus | Gideon of the Trials | Leyline of Sanctity,-1.0
Black Lotus | Gideon of the Trials | Pact of Negation,-1.0
Black Lotus | Manamorphose | Sprouting Thrinax,1.0
Black Lotus | Memnite | Wistful Thinking,-1.0
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",-1.0
Cavern of Souls | Hexdrinker | Karakas,1.0
Chalice of the Void | City of Traitors | Lupine Prototype,1.0
Chancellor of the Forge | Fury | Leyline of Lifeforce,1.0
Chancellor of the Forge | Lithomantic Barrage | Mountain,1.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,1.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,-0.5
Copperline Gorge | Flaxen Intruder | Lithomantic Barrage,0.0
Daze | Hexdrinker | Tropical Island,1.0
Dryad Arbor | Dryad Arbor | Treetop Village,1.0
Foil | Island | Nether Spirit,1.0
Fungal Reaches | Gnottvold Slumbermound | The Tabernacle at Pendrell Vale,1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,1.0
Mishra's Workshop | The Rack | The Rack,0.0
