Opponent Decklist,Result
Aether Vial | Chancellor of the Tangle | Cobbled Lancer,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Elixir of Immortality | Warping Wail,-1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Ancient Tomb | Mox Jet | Rotting Regisaur,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
Bottomless Vault | Lab Rats | Thoughtseize,-1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Dismember | Hollow Trees | Quagnoth,-1.0
Encroach | Skittering Heartstopper | Swamp,-1.0
Glistener Elf | Taiga | Taste for Mayhem,-1.0
"Island Sanctuary | Mikaeus, the Lunarch | Remote Farm",-1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Living Conundrum | Maze of Ith | Sand Silos,-1.0
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",-1.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,-1.0
