Opponent Decklist,Result
Alpine Moon | Mountain | Stromkirk Noble,-1.0
Bayou | Hexdrinker | Thoughtseize,0.0
Cenn's Tactician | Path to Exile | Plains,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Drillworks Mole | Sphere of Resistance,0.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
City of Traitors | Magus of the Moon | Mox Ruby,0.0
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,0.0
Mox Pearl | Rishadan Port | Skrelv's Hive,0.0
"Phelia, Exuberant Shepherd | Portable Hole | Remote Farm",0.0
Remote Farm | Skrelv's Hive | White Orchid Phantom,0.0
