Opponent Decklist,Result
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",-1.0
Azure Beastbinder | Mox Sapphire | Wasteland,0.0
Banefire | Mental Misstep | Mercadian Bazaar,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,-1.0
Crystal Vein | Memnite | Sphere of Resistance,-0.5
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Drifter il-Dal | Island | Sea's Claim,0.0
Dryad Arbor | Dryad Arbor | Dryad Arbor,-1.0
Fiend Hunter | Karoo | Plains,0.0
Lightning Bolt | Reinforced Ronin | Snow-Covered Mountain,-1.0
Mesmeric Fiend | Mishra's Factory | Mox Jet,-1.0
"Mountain | Mox Ruby | Yidaro, Wandering Monster",-1.0
Reluctant Role Model | Remote Farm | Unwanted Remake,-1.0
