Opponent Decklist,Result
"Black Lotus | Oko, Thief of Crowns | Sand Silos",-1.0
Cavern of Souls | Chancellor of the Annex | Reckless Waif,1.0
Chancellor of the Annex | Strip Mine | The Rack,1.0
