Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Plateau,1.0
Atraxi Warden | Balance | Remote Farm,1.0
Balance | Crashing Footfalls | Tinder Farm,1.0
Bayou | Cabal Therapy | Young Wolf,1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Cavern of Souls | Dismember | Swarm Shambler,1.0
Cenn's Tactician | Curse of Silence | Karakas,0.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,0.0
City of Traitors | Maze of Ith | Retrofitter Foundry,1.0
City of Traitors | Retrofitter Foundry | Steel Overseer,0.0
City of Traitors | Retrofitter Foundry | The Filigree Sylex,0.5
Crashing Footfalls | Forest | Mental Misstep,0.0
Dryad Arbor | Karakas | Leyline of Singularity,1.0
"Dwarven Hold | Embereth Shieldbreaker | Ulamog, the Infinite Gyre",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Force of Despair | Memnite | Unmask,1.0
Hexdrinker | Shrieking Affliction | Undiscovered Paradise,-1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,-1.0
Lupine Prototype | Mishra's Workshop | Wheel of Torture,-1.0
Mishra's Workshop | Phyrexian Revoker | Wheel of Torture,0.0
Shrieking Affliction | Swarm Shambler | Undiscovered Paradise,-1.0
