Opponent Decklist,Result
"Ajani, Nacatl Pariah | Mox Pearl | Wasteland",0.5
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-0.5
Angel of Sanctions | Fountain of Cho | Solitude,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Pyrokinesis | Wasteland,0.0
Crawling Chorus | Curse of Silence | Plains,0.5
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Dismember | Forest | Utopia Mycon,0.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-0.5
Isochron Scepter | Lightning Helix | Mana Crypt,0.0
Isochron Scepter | Mana Crypt | Verdant Command,0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Legacy's Allure | Saprazzan Skerry | Watcher of Hours,-0.5
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",0.0
"Mox Pearl | Thalia, Guardian of Thraben | Wasteland",0.0
Plains | Student of Warfare | Unwanted Remake,0.0
Razortide Bridge | Sleep-Cursed Faerie | Unwanted Remake,0.0
