Opponent Decklist,Alpine Moon | Hammerheim | Heartfire Hero,Blast Zone | Keldon Megaliths | Sunken Citadel,Field of Ruin | Idol of False Gods | Sol Ring,Mishra's Factory | Mox Jet | Nezumi Shortfang,Ancient Tomb | Mox Ruby | Stingerback Terror,Dark Ritual | Swamp | Unstoppable Slasher,Remote Farm | Skrelv's Hive | Soul Partition,Total
Dryad Arbor | Force of Negation | Mental Misstep,1.0,-1.0,0.6666666666666666,1.0,0.20588235294117646,1.0,1.0,3.8725490196078427
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0,1.0,-0.125,-0.0,0.05,1.0,-0.0,2.925
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0,1.0,0.0,-0.5,0.4166666666666667,1.0,1.0,1.9166666666666667
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,1.0,0.3333333333333333,1.0,1.0,-0.7,-1.0,-0.0,1.6333333333333329
Khalni Garden | Mistbreath Elder | Sunshower Druid,1.0,0.0,0.0,-0.9,1.0,0.6666666666666666,-0.2,1.5666666666666667
Mountain | Storm World | Wayward Guide-Beast,-0.0,0.3333333333333333,1.0,-0.25,0.5,-0.4,0.375,1.5583333333333331
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",1.0,0.21428571428571427,0.0,-0.21052631578947367,-0.4,1.0,-0.09259259259259259,1.511166805903648
Etched Slith | Mishra's Factory | Mox Jet,1.0,1.0,-0.0,-0.5,0.0,-0.0625,0.04838709677419355,1.4858870967741935
Crystal Vein | Mana Vault | Thought-Knot Seer,-0.0,0.2857142857142857,0.3333333333333333,-0.0,-0.18181818181818182,-0.0,1.0,1.4372294372294372
Dryad Arbor | Mental Misstep | Mistbreath Elder,1.0,-1.0,1.0,-0.21875,-0.42857142857142855,0.7,0.2727272727272727,1.325405844155844
Plains | Student of Warfare | Unwanted Remake,1.0,-0.7142857142857143,0.4,1.0,-0.6,1.0,-1.0,1.0857142857142859
Dark Ritual | Phylactery Lich | Vault of Whispers,1.0,0.0,1.0,-0.3333333333333333,0.25,-0.5,-0.3333333333333333,1.0833333333333335
Mox Jet | Mutavault | Nezumi Shortfang,1.0,0.75,0.0,-0.34210526315789475,-0.25,-0.14285714285714285,-0.0,1.0150375939849625
